patentId,title,abstract,drugName,filingDate,expiryDate,status,owner,legalStatus,claims,citationCount
US20240012345,Use of Metformin for Neuroprotection in Alzheimer's Disease,Methods of using metformin for treating neurodegenerative diseases by activating AMPK pathway and reducing oxidative stress,Metformin,2015-03-15,2023-01-20,Expired,Generic Pharma Inc,Public domain - Free to operate,12,45
EP3456789,Kinase Inhibitors for Alzheimer's Disease Treatment,Novel formulations of tyrosine kinase inhibitors targeting tau phosphorylation and amyloid aggregation,Imatinib,2018-06-01,2038-06-01,Active,NeuroPharma AG,May require licensing,18,23
US10234567,Combination Therapy of Cholinesterase Inhibitors and NMDA Antagonists,Synergistic pharmaceutical compositions for treating moderate to severe Alzheimer's disease,Donepezil + Memantine,2016-09-10,2036-09-10,Active,Eisai Co. Ltd.,Licensed to multiple generics,25,67
WO2019123456,Repurposing PDE5 Inhibitors for Vascular Dementia,Methods of treating vascular dementia using phosphodiesterase-5 inhibitors to improve cerebral blood flow,Sildenafil,2019-01-15,2039-01-15,Active,Pfizer Inc.,Exclusive rights,15,12
US9876543,Low-Dose Lithium for Neuroprotection,Pharmaceutical compositions containing microdoses of lithium salts for preventing neurodegeneration,Lithium,2014-11-20,2034-11-20,Active,NeuroTherapeutics LLC,Patent pending in EU,10,34
EP2987654,COX-2 Selective Inhibitors in Neuroinflammation,Use of selective cyclooxygenase-2 inhibitors for treating neuroinflammatory conditions,Celecoxib,2012-05-08,2032-05-08,Active,Pfizer Inc.,Blocking patent - licensing required,22,89
US8765432,Statin Therapy for Alzheimer's Prevention,Methods of preventing Alzheimer's disease using HMG-CoA reductase inhibitors in at-risk populations,Atorvastatin,2010-03-22,2030-03-22,Active,Pfizer Inc.,Expired in some jurisdictions,14,156
JP2020123456,HDAC Inhibitors for Cognitive Enhancement,Use of histone deacetylase inhibitors for improving memory and cognitive function,Valproic Acid,2020-07-10,2040-07-10,Active,Takeda Pharmaceutical,Active in Japan only,20,8
US7654321,Antimalarial Drugs for Autoimmune Neuroinflammation,Repurposing hydroxychloroquine for treating autoimmune-mediated neurological disorders,Hydroxychloroquine,2008-12-15,2028-12-15,Active,Sanofi SA,Expiring soon - generic entry expected,8,45
CN109876543,Tetracycline Antibiotics as Neuroprotective Agents,Methods of using tetracycline derivatives for neuroprotection via anti-inflammatory mechanisms,Doxycycline,2017-04-20,2037-04-20,Active,Shanghai Pharma,Active in China; not filed in US,12,19
US11234567,Beta-Blockers for Traumatic Memory Modulation,Use of beta-adrenergic antagonists for preventing PTSD and associated cognitive decline,Propranolol,2021-02-28,2041-02-28,Active,Memory Therapeutics Inc.,Early stage - broad claims,16,5
EP3789012,Macrolide Antibiotics with Neuroprotective Properties,Pharmaceutical compositions of macrolide antibiotics for treating neurodegenerative diseases,Azithromycin,2019-08-12,2039-08-12,Active,Pfizer Inc.,Patent family in 15 countries,18,14
US10987654,Gabapentinoids for Alzheimer's-Related Pain,Methods of treating neuropathic pain in Alzheimer's patients using gabapentin derivatives,Gabapentin,2017-10-05,2037-10-05,Active,Pfizer Inc.,Generic competition exists,10,28
WO2022234567,Pioglitazone for APOE4 Carriers,Personalized medicine approach using PPARγ agonists in genetically susceptible Alzheimer's patients,Pioglitazone,2022-05-18,2042-05-18,Pending,USC Alzheimer's Research,Patent pending - examination phase,24,2
US9123456,Aspirin Microdosing for Dementia Prevention,Low-dose aspirin regimens for primary prevention of vascular dementia in elderly populations,Aspirin,2013-07-30,2033-07-30,Active,Bayer AG,Widely licensed - royalty-free in some regions,9,78
